ID	NASTAVITVENITLAK	TOLERANCATLAK	TOLERANCAPOMIK	TLAKSISTEMA	PN	PREMER	HOTT
2	100	0	0.2	0	0	0	1
3	3.2	0.275	0.2	0.011	10	0	3
5	3.2	0.255	0.2	0.011	10	0	3
11	32	0	0	0	63	22.5	1
12	32	0.365	0.2	0	63	22.5	1
13	1	0	0.2	0	16	175	1
14	1	0	0.2	0	16	175	1
15	2.8	0	0.2	0	16	222	1
16	32	0	0	0	63	22.5	1
17	32	0	0	0	63	22.5	1
18	242	0	0	0	63	14	1
19	242	0	0	0	63	14	1
20	8	0	0	0	40	14	1
21	8	0	0	0	40	14	1
22	72	0	0	0	63	14	1
23	72	0	0	0	63	14	1
24	25	0	0	0	25	43	1
25	5	0	0	0	25	53	1
26	5	0	0	0	25	53	1
27	25	0	0	0	25	43	1
28	4	0	0	0	25	60	1
29	4	0	0	0	25	60	1
30	16	0	0.2	5.9	40	37	2
31	16	0	0.2	5.9	40	37	2
33	10	0	0.2	0	40	23	1
34	10	0	0.2	2.1	40	37	2
35	13	0	0.2	0	40	98	1
36	21	0	0.2	0	40	37	1
37	1.99	0	0.2	1.3	40	98	2
38	4	0	0.2	2.2	40	165	2
39	4	0	0.2	2.1	16	165	2
40	4	0	0.2	2.1	40	165	2
42	4	0	0.2	1.3	40	125	2
43	2.4	0	0.2	1.3	40	295	2
44	10	0	0	0	40	23	1
45	10	0	0	0	40	23	1
46	4	0	0.2	2	40	98	2
47	4	0	0.2	2	40	98	2
48	25	0	0	21.7	40	38	2
49	20	0	0.2	7.8	40	46	2
50	0.8	0	0.2	0	40	18	1
51	8.1	0	0.2	2.1	40	125	2
52	1.99	0	0.2	1.4	25	165	2
53	1.99	0	0.2	1.4	25	165	2
55	8.5	0	0.2	5	40	110	2
56	8.5	0	0.2	5	25	112	2
57	10	0	0.2	5	40	125	2
58	25.5	0	0.2	22.2	40	64	2
59	25	0	0.2	22.2	40	64	2
60	24	0	0.2	22	40	64	2
61	25	0	0.2	22	40	64	2
62	3.3	0	0.2	1.3	40	125	2
63	0.5	0	0.2	0.44	16	40	2
64	25	0	0.2	0	25	79	1
69	18	0	0	11.5	16	0	2
